band,max,mean,min,std
VNIR1_savg,281.4833984,68.78298202,12.76409054,14.04485345
NIR_savg,273.5695496,120.2392154,10.12613678,23.87007864
VNIR2_INTP,0.537595809,0.206564313,0.011200414,0.040469175
EVI_INTP,5.812339783,0.293712878,-402083.4063,127.3662609
NIR_INTP,0.535286844,0.249430385,0.013983746,0.054674839
NIR,0.598200023,0.237780859,0.02,0.051422533
SWIR1_savg,315.6745605,126.3367776,12.0,35.37220659
EVI_savg,429.1213684,318.6059548,213.3709106,26.26163043
VNIR3_INTP,0.536839604,0.241128769,0.012856343,0.050937834
EVI2,0.721570909,0.244790123,-0.121880986,0.111827771
VNIR1,0.625699997,0.136833947,0.018650001,0.029863057
VNIR1_INTP,0.559952557,0.119777668,0.01057552,0.024295271
SWIR1,0.638499975,0.249709491,0.0241,0.072510565
VNIR2,0.600000024,0.199958263,0.00655,0.039725765
VNIR2_savg,269.7461243,100.9581629,8.166136742,18.57612004
SWIR1_INTP,0.612944007,0.217859407,0.01846157,0.058549416
NIR_diss,17.37159157,2.765216476,0.0,1.109678311
SWIR2_savg,297.1834106,83.89911297,8.343863487,30.17293278
ELEVATION,323.0,40.91477709,-44.0,35.3459222
RED_savg,269.6600037,46.77597788,9.687726974,16.11545052
EVI,0.74953872,0.253479619,-0.170255959,0.114255867
VNIR3,0.608299971,0.226433929,0.0126,0.047598675
VNIR3_savg,273.7225037,114.4558478,9.976363182,22.40458992
EVI2_savg,431.6690979,316.3923342,223.9809113,25.70502032
GREEN_savg,250.6206818,40.90408318,12.84772682,9.56888318
GREEN_INTP,0.505017519,0.074078509,0.019231578,0.017625078
NIR_contrast,510.1979675,16.3638665,0.0,14.65592161
NIR_dent,3.474433899,1.948926713,0.0,0.341399741
NBR_savg,435.379303,303.719284,146.4295502,47.3395062
NDVI_INTP,0.925961137,0.546046014,-0.635565341,0.18598904
RED,0.593199968,0.093673947,0.0152,0.035184393
GREEN,0.551800013,0.08215329,0.0207,0.0210856
NIR_inertia,510.1979675,16.3638665,0.0,14.65592161
GREEN_idm,1.0,0.583687588,0.082866721,0.116530443
NIR_idm,1.0,0.34765236,0.05682582,0.10377538
BLUE_savg,219.9334106,25.42594484,4.032045364,8.821870192
NBR,0.738429725,0.195056515,-0.453782231,0.199778029
NBR_INTP,0.867277205,0.326989042,-0.546841025,0.168162889
EVI2_INTP,0.762275994,0.317105703,-0.126183793,0.116923985
SWIR2,0.604600012,0.16648208,0.0188,0.062688007
SWIR2_INTP,0.595186114,0.134120043,0.014831292,0.048164035
VNIR1_COS,0.360877633,-0.015600302,-0.255005032,0.009598981
GREEN_contrast,400.3770447,3.237373575,0.0,5.443654415
NDVI_savg,478.0006714,363.6061602,137.2484131,41.88642303
NIR_ent,5.306746483,4.380098023,0.0,0.504295081
SWIR2_SIN,0.33796671,0.037045675,-0.250343561,0.025120756
NIR_dvar,217.2576904,7.152442225,0.0,6.993914345
GREEN_ent,5.271931648,3.14788261,0.0,0.713252944
GREEN_inertia,400.3770447,3.237373575,0.0,5.443654415
NIR_asm,1.0,0.02056619,0.005040186,0.035047767
SWIR1_RMSE,0.260469824,0.018316008,0.004897866,0.009033193
GREEN_diss,14.19068146,1.133163006,0.0,0.624200698
TREE_COVER,100.0,26.19716234,0.0,15.68362286
SWIR2_dent,2.768336535,1.50198184,0.0,0.398642323
NDVI_shade,1202386.25,-88.84803561,-1192103.125,28253.15232
SWIR1_COS,0.222995833,-0.020191673,-0.247806013,0.017871645
BLUE,0.488599986,0.051800698,0.0065,0.019311298
GREEN_RMSE,0.182819054,0.012580927,0.002294031,0.004223254
GREEN_dent,3.290278673,1.254930751,0.0,0.324478857
RAINFALL,2709.0,1690.358818,0.0,443.6596937
VNIR3_dvar,325.5805054,6.690119747,0.0,8.200561543
NDVI,0.893144846,0.430076571,-0.571724415,0.182238149
ASPECT,328.566925,234.5351519,0.0,82.0025915
SWIR2_shade,534626.4375,296.3693968,-374002.8125,4425.908653
EVI2_shade,168971.4063,312.8473337,-146431.0156,4095.565705
VNIR3_inertia,587.8218384,10.89006975,0.0,12.96750244
NBR_shade,441192.2188,411.0325097,-371461.4375,10107.04334
