VNIR1_savg,NIR_savg,VNIR2_INTP,EVI_INTP,NIR_INTP,NIR,SWIR1_savg,EVI_savg,VNIR3_INTP,EVI2,VNIR1,VNIR1_INTP,SWIR1,VNIR2,VNIR2_savg,SWIR1_INTP,NIR_diss,SWIR2_savg,ELEVATION,RED_savg,EVI,VNIR3,VNIR3_savg,EVI2_savg,GREEN_savg,GREEN_INTP,NIR_contrast,NIR_dent,NBR_savg,NDVI_INTP,RED,GREEN,NIR_inertia,GREEN_idm,NIR_idm,BLUE_savg,NBR,NBR_INTP,EVI2_INTP,SWIR2,SWIR2_INTP,VNIR1_COS,GREEN_contrast,NDVI_savg,NIR_ent,SWIR2_SIN,NIR_dvar,GREEN_ent,GREEN_inertia,NIR_asm,SWIR1_RMSE,GREEN_diss,TREE_COVER,SWIR2_dent,NDVI_shade,SWIR1_COS,BLUE,GREEN_RMSE,GREEN_dent,RAINFALL,VNIR3_dvar,NDVI,ASPECT,SWIR2_shade,EVI2_shade,VNIR3_inertia,NBR_shade,x,y,polygonID,Class,Classname
54.55318,106.196365,0.19692361,0.37827957,0.23714185,0.20989999,110.14023,318.79523,0.23748177,0.2645973,0.105,0.0948865,0.21025,0.1817,92.7525,0.1974201,3.9527273,71.245224,33.0,33.38591,0.28298685,0.204,103.20591,314.08795,32.946136,0.057099752,25.134546,2.2679002,296.76477,0.6627763,0.05755,0.0628,25.134546,0.6792955,0.2225752,21.128864,0.18321183,0.35706127,0.3528767,0.1307,0.10757973,-0.011903695,0.9725,377.4073,4.8248806,0.029856274,9.238767,2.4967647,0.9725,0.009328202,0.012968368,0.6965909,39.0,1.2608228,-15.70486,-0.0032657217,0.0381,0.0124117,0.9771992,2370.0,6.0375547,0.54881805,261.08145,-15.018097,151.23964,9.625455,827.7697,-14.816857212031591,11.256833741065927,1234,2,Open Forest
54.548637,105.88318,0.19705205,0.4048797,0.2538723,0.2376,110.40182,318.4168,0.23807351,0.27990046,0.105,0.093926385,0.21025,0.1817,92.432274,0.19699681,3.8736362,71.365,33.0,33.610683,0.29980367,0.204,102.76841,313.76932,32.942726,0.059721928,24.336363,2.2553408,296.2109,0.66172606,0.06075,0.0652,24.336363,0.6836016,0.22246726,21.167046,0.21803991,0.38979325,0.37290356,0.1307,0.10696188,-0.010813494,1.0040909,376.9259,4.823305,0.028914602,9.031377,2.5166812,1.0040909,0.009245042,0.013241195,0.6940909,39.0,1.3414854,7.525841,-0.0036744706,0.04195,0.011412907,0.99441373,2370.0,5.8850064,0.543567,261.08145,-17.621197,227.49971,9.921136,903.05225,-14.81676738050318,11.256833741065927,1234,2,Open Forest
54.524773,105.115,0.19611515,0.40026084,0.24552527,0.21110001,110.72864,317.58228,0.23295051,0.24366316,0.10185,0.08337073,0.2118,0.18805,92.056816,0.18459633,3.830909,71.48932,33.0,33.80159,0.2675168,0.2116,102.32409,312.98273,32.84318,0.054523982,24.449545,2.2498167,294.91205,0.7093795,0.063449994,0.0635,24.449545,0.6764652,0.22941992,21.18659,0.18582791,0.4784412,0.38181233,0.1311,0.09918441,0.0,1.0472727,375.89136,4.818122,0.032479033,9.405815,2.5373282,1.0472727,0.009257541,0.008730224,0.7131818,29.0,1.2799152,320.8016,0.0,0.04125,0.0082327435,1.0163295,2370.0,5.8632693,0.5200432,261.08145,-19.15561,355.5318,9.711364,1305.2715,-14.816677548974768,11.256833741065927,1234,2,Open Forest
54.247726,106.70841,0.21206482,0.42325628,0.2531601,0.2025,109.574776,319.3466,0.2480066,0.2636494,0.10505,0.09191377,0.20565,0.19775,93.4325,0.18974581,3.8270454,70.656136,35.0,33.063408,0.2830164,0.2284,104.10773,314.4725,32.763184,0.052692726,23.185682,2.2652318,298.04385,0.7430494,0.059,0.06225,23.185682,0.6848636,0.23140399,20.996592,0.21947728,0.45616797,0.3995468,0.12745,0.103008874,-0.0018895104,0.915,378.1525,4.83307,0.019968301,8.236189,2.445946,0.915,0.00946312,0.010351516,0.6777273,40.0,1.2601949,-343.24048,0.0,0.03975,0.0134941535,0.9526103,2370.0,6.040031,0.54310435,261.08145,-5.962072,20.934526,9.741818,702.8076,-14.816857212031591,11.256743909537516,1234,2,Open Forest
54.281364,105.96091,0.2082888,0.4234226,0.26458037,0.2532,109.90546,318.46933,0.25267008,0.30725998,0.10505,0.09618688,0.20565,0.19775,92.83773,0.20149776,3.6718183,70.845,34.0,33.395226,0.33685774,0.2284,103.376595,313.66885,32.78159,0.061005436,21.503181,2.235176,296.97183,0.67574954,0.0601,0.06385,21.503181,0.6961243,0.23392595,21.065454,0.29489726,0.41543472,0.3918551,0.12745,0.10852334,-0.0026100867,0.9152273,377.03864,4.830867,0.01940288,7.7575374,2.444505,0.9152273,0.009333161,0.012279862,0.6584091,40.0,1.3452376,-224.68933,0.0,0.0422,0.009820765,0.9567438,2370.0,5.887499,0.5765183,261.08145,-9.742081,62.99576,10.015682,976.93427,-14.81676738050318,11.256743909537516,1234,2,Open Forest
54.3175,104.94909,0.21472125,0.44055992,0.27737,0.23809999,110.33773,317.33115,0.260855,0.27592435,0.1098,0.10016744,0.21995,0.2081,92.18046,0.21493688,3.5663636,71.0675,34.0,33.679546,0.30307418,0.22975,102.63863,312.62158,32.727726,0.061511494,20.690908,2.2086158,295.3543,0.69084555,0.0614,0.0644,20.690908,0.68823797,0.2432332,21.111364,0.23259461,0.41484985,0.4103788,0.1394,0.11713372,-0.0018876172,0.96590906,375.655,4.8039675,0.02525216,7.6709127,2.453768,0.96590906,0.009547314,0.01345882,0.68,28.0,1.2876881,201.78227,-0.0021956726,0.0411,0.008975445,0.9846811,2370.0,5.8768263,0.53754026,261.08145,-11.763023,219.51083,9.784091,1536.8743,-14.816677548974768,11.256743909537516,1234,2,Open Forest
54.153862,107.630226,0.21265958,0.40109402,0.25616768,0.2033,109.270226,320.3559,0.25771913,0.25299907,0.10505,0.09543426,0.20565,0.19775,94.02409,0.19785729,3.716591,70.24886,35.0,32.680454,0.27689564,0.2284,104.8425,315.3382,32.578407,0.05879228,21.921137,2.2402432,299.46524,0.66523665,0.0616,0.06305,21.921137,0.67725,0.23311822,20.831137,0.22375621,0.39231634,0.37241894,0.12745,0.10527451,-0.0040611983,0.94113636,379.53183,4.869714,0.017590897,7.790895,2.3748412,0.94113636,0.008896591,0.011678083,0.6947727,40.0,1.3190107,-775.13824,0.0,0.0416,0.011496357,0.9602051,2370.0,5.7716312,0.53551817,261.08145,3.231773,-99.2532,9.335682,115.565125,-14.816857212031591,11.256654078009106,1234,2,Open Forest
54.218636,106.689545,0.20754963,0.3704747,0.25612625,0.2569,109.67273,319.2325,0.24071045,0.32706448,0.10505,0.091167495,0.20565,0.19775,93.22773,0.19411148,3.5413637,70.51886,34.0,33.07182,0.34575203,0.2284,103.88591,314.29068,32.62341,0.06122233,19.995455,2.1998563,298.03204,0.6098352,0.0605,0.06555,19.995455,0.68748796,0.2360881,20.923864,0.30405614,0.3544897,0.34306684,0.12745,0.10443866,-0.0004933108,0.9434091,378.0766,4.8516684,0.017469758,7.200404,2.3858213,0.9434091,0.0089781,0.012159534,0.6775,40.0,1.3948153,-519.41064,0.0,0.0413,0.009702087,0.9660919,2370.0,5.5326586,0.59841424,261.08145,-1.8823383,2.8494425,9.428637,546.5435,-14.81676738050318,11.256654078009106,1234,2,Open Forest
54.302956,105.50364,0.20344876,0.37451458,0.26137346,0.2468,110.21591,317.83203,0.23478338,0.30719978,0.1098,0.09861631,0.21995,0.2081,92.34659,0.20898701,3.4131818,70.85432,34.0,33.4925,0.32182026,0.22975,102.895454,313.00955,32.643635,0.060792957,18.986364,2.1742203,296.11478,0.6186974,0.0641,0.0649,18.986364,0.6789652,0.24732672,21.034319,0.24324927,0.3326112,0.34996107,0.1394,0.11275217,-0.0036297857,1.0013636,376.29706,4.8302054,0.023445347,7.0859747,2.4050932,1.0013636,0.009200413,0.011796623,0.7013636,28.0,1.3320464,-8.309585,0.0,0.0408,0.009617983,0.9965368,2370.0,5.48581,0.57322407,261.08145,-4.8317065,213.80693,9.080455,1240.2601,-14.816677548974768,11.256654078009106,1234,2,Open Forest
65.549545,169.28955,0.2339611,0.3347297,0.29268283,0.2998,124.87909,362.03363,0.27424362,0.2774922,0.1649,0.14237048,0.3026,0.2563,132.7525,0.27827227,3.8963637,76.197044,17.0,40.666817,0.306208,0.2881,161.70432,361.16522,40.625,0.08993284,26.656818,2.2911339,351.89545,0.49904338,0.1268,0.1164,26.656818,0.4218162,0.23420648,24.339773,0.17998387,0.24073128,0.31403214,0.2075,0.18287595,0.0,12.047728,410.815,4.978319,0.0010208855,11.214294,4.114903,12.047728,0.0079316115,0.034449182,2.3063636,64.0,2.1416655,-33504.816,0.024607163,0.0918,0.015368749,1.9032369,2265.0,12.100878,0.41252488,0.0,9760.909,-9394.081,20.490227,-22827.752,-16.030750655462302,11.348102573932472,1286,2,Open Forest
